label,user_mentions,exc_count,quest_count,ellipsis_count,interjection_count,uppercase_count,rep_letter,tweet_score,positive_word,negative_word,polarity,noun_count,verb_count,intensifier_count,bi,tri,uni,emoji_score,emoji_tweet_flip,hashtag_score
0,0,0,0,0,0,1,1,0.4215,1,0,0,1,0,0,0.843,1,0.4215,0,1,0
0,1,0,0,0,0,3,1,-0.3818,0,1,0,0,1,0,-0.7636,-1,-0.3818,0,1,0
0,0,0,0,0,0,1,0,-0.34,0,2,0,0,2,0,-0.7116,-1,-0.3558,0,1,0
0,0,0,0,0,0,0,0,0.7283,1,0,0,1,0,0,1,1,0.6124,0,1,0
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0.0516,2,1,0,2,1,0,0.1108,-0.02,0.0554,0,1,0
0,0,0,0,0,0,8,0,-0.9926,0,11,0,0,11,0,-1,-1,-1,0,1,0
0,0,0,0,0,0,0,0,-0.1531,1,1,0,1,1,0,0.3062,0.4593,0.1531,0,1,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,-0.5267,0,1,0,0,1,0,-1,-1,-0.5267,0,1,0
0,1,1,0,0,0,0,0,0.6908,2,0,0,2,0,0,1,1,0.8607,0,1,0
0,0,0,0,0,0,0,1,0.8327,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,1,1,0,0,0,0.2382,1,0,0,1,0,0,0.8808,0.8808,0.4404,0,1,0
0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,1,0.8555,2,0,0,2,0,0,1,1,1,0,1,0
0,2,2,0,0,0,1,0,0.8779,3,0,0,3,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0.9432,4,0,0,4,0,0,1,1,1,0,1,0
0,0,0,0,0,0,1,4,-0.0516,0,1,0,0,1,0,-0.1032,-0.1548,-0.0516,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,4,0.836,2,0,0,2,0,0,1,1,1,0,1,0
0,1,0,0,0,0,6,1,-0.1779,1,1,0,1,1,0,-0.2416,-0.7839,-0.1208,0,1,0
0,1,1,0,0,0,0,2,0.7704,1,1,0,1,1,0,0.0824,-0.3764,0.1781,0,1,0
0,1,0,0,0,0,0,1,-0.0258,2,1,0,2,1,0,-0.3816,-1,0.1498,0,1,0
0,1,2,0,0,0,0,2,-0.1586,3,1,0,3,1,0,-0.0846,-0.6269,0.0336,0,1,0
0,2,0,0,0,0,0,2,0.4404,1,0,0,1,0,0,0.8808,0.8808,0.4404,0,1,0
0,0,0,0,0,0,0,0,0.7472,0,3,0,0,3,0,-1,-1,-1,0.8271,1,0
0,0,0,0,0,0,0,1,-0.5719,0,1,0,0,1,0,-1,-1,-0.5719,0,1,0
0,2,1,0,0,0,1,3,0.7096,2,0,0,2,0,0,1,1,0.8879,0,1,0
0,0,0,0,0,0,2,2,0.8658,2,0,0,2,0,0,1,1,0.6039,0.7184,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,2,0.0772,1,1,0,1,1,0,0.1172,-0.2646,0.0586,0,1,0
0,0,0,0,0,0,1,1,0.5423,3,1,0,3,1,0,1,1,0.5558,0,1,0
0,0,0,0,1,0,2,1,0.7334,2,0,0,2,0,0,1,1,0.8924,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,5,3,0.5106,1,0,0,1,0,0,1,1,0.5106,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,5,0.4824,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,-0.4019,0,2,0,0,2,0,-0.256,-0.384,-0.128,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0.7783,2,0,0,2,0,0,1,1,1,0,1,0
