label,exc_count,quest_count,ellipsis_count,uppercase_count,emoji_score,hashtag_score,tweet_score,positive_word,negative_word,interjection_count,intensifier_count,emoji_tweet_flip,noun_count,verb_count,user_mentions,uni,bi,tri,polarity,rep_letter
1,0,0,0,1,0.0,0.0,0.8658,0,0,0,0,0,0,0,0,0.0,0,0,0,1
1,0,1,0,0,0.0,0.0,0.8365,0,0,0,0,0,0,0,1,0.0,0,0,0,3
1,0,0,0,0,0.0,0.0,0.7902,0,0,0,0,0,0,0,1,0.0,0,0,0,3
1,0,1,0,0,0.0,-0.2263,0.3291,0,0,0,0,0,0,0,1,0.0,0,0,0,4
1,0,0,1,0,0.0,0.0,0.2023,0,0,0,0,0,0,0,1,0.0,0,0,0,1
1,0,2,0,0,0.0,0.0,-0.2263,0,0,0,0,0,0,0,2,0.0,0,0,0,0
1,0,0,0,0,0.0,0.0,-0.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2
1,0,1,0,0,0.0,0.0,-0.5236,0,0,0,0,0,0,0,0,0.0,0,0,0,1
1,2,0,1,0,0.0,-0.2263,-0.8658,0,0,0,0,0,0,0,0,0.0,0,0,0,4
1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,9
1,0,1,0,0,0.0,0.0,0.2425,0,0,0,0,0,0,0,0,0.0,0,0,0,9
1,1,0,0,1,0.0,0.0,-0.6597,0,0,0,0,0,0,0,0,0.0,0,0,0,5
1,0,3,0,0,0.0,0.0,0.354,0,0,0,0,0,0,0,1,0.0,0,0,0,7
0,0,0,0,0,0.0,0.0,0.2023,0,0,0,0,0,0,0,1,0.0,0,0,0,0
0,0,0,0,0,0.0,0.0,0.2732,0,0,0,0,0,0,0,1,0.0,0,0,0,0
1,0,1,0,1,0.0,0.0,0.5157,0,0,0,0,0,0,0,1,0.0,0,0,0,1
1,2,0,0,0,0.0,0.0,0.8481,0,0,0,0,0,0,0,3,0.0,0,0,0,6
1,0,0,0,0,0.0,0.0,-0.5106,0,0,0,0,0,0,0,0,0.0,0,0,0,6
1,2,1,0,2,0.0,0.0,-0.8067,0,0,0,0,0,0,0,1,0.0,0,0,0,6
1,0,2,0,1,0.0,0.0,-0.8519,0,0,0,0,0,0,0,2,0.0,0,0,0,7
1,0,0,0,0,0.0,0.0,0.2263,0,0,0,0,0,0,0,1,0.0,0,0,0,3
1,0,0,0,2,0.0,0.0,0.1002,0,0,0,0,0,0,0,1,0.0,0,0,0,1
1,0,0,0,0,0.0,0.0,0.3265,0,0,0,0,0,0,0,2,0.0,0,0,0,5
1,4,9,0,0,0.0,0.0,-0.2263,0,0,0,0,0,0,0,1,0.0,0,0,0,0
1,3,0,0,0,0.0,0.0,-0.5868,0,0,0,0,0,0,0,0,0.0,0,0,0,2
